CCS Title,Proficiency Level,CCS Ranking,jobid,jccsid,ccskeyid
Problem Solving,Basic,1,1461,1,184
Communication,Basic,2,1461,2,198
Collaboration,Basic,3,1461,3,49
Digital Fluency,Intermediate,4,1461,4,111
Customer Orientation,Basic,5,1461,5,9
Developing People,Advanced,1,993,6,31
Communication,Advanced,2,993,7,152
Decision Making,Intermediate,3,993,8,142
Digital Fluency,Advanced,4,993,9,53
Developing People,Advanced,1,1383,10,31
Communication,Advanced,2,1383,11,152
Problem Solving,Advanced,3,1383,12,181
Global Perspective,Advanced,4,1383,13,23
Digital Fluency,Advanced,5,1383,14,2
Collaboration,Intermediate,1,1320,15,68
Communication,Intermediate,2,1320,16,52
Digital Fluency,Advanced,3,1320,17,126
Developing People,Intermediate,4,1320,18,92
Sense Making,Intermediate,5,1320,19,83
Collaboration,Basic,1,1430,20,70
Digital Fluency,Basic,2,1430,21,22
Problem Solving,Basic,3,1430,22,7
Learning Agility,Basic,4,1430,23,91
Decision Making,Advanced,1,1182,24,183
Problem Solving,Intermediate,2,1182,25,99
Collaboration,Intermediate,3,1182,26,162
Sense Making,Advanced,4,1182,27,75
Developing People,Intermediate,5,1182,28,101
Decision Making,Advanced,1,460,29,183
Collaboration,Advanced,2,460,30,69
Sense Making,Advanced,3,460,31,156
Developing People,Advanced,4,460,32,195
Sense Making,Intermediate,1,682,33,119
Collaboration,Intermediate,2,682,34,120
Communication,Basic,3,682,35,124
Digital Fluency,Intermediate,4,682,36,111
Decision Making,Advanced,1,1375,37,183
Transdisciplinary Thinking,Advanced,2,1375,38,27
Communication,Advanced,3,1375,39,200
Collaboration,Advanced,4,1375,40,114
Communication,Basic,1,476,41,56
Problem Solving,Basic,2,476,42,94
Collaboration,Basic,3,476,43,49
Learning Agility,Basic,4,476,44,91
Problem Solving,Advanced,1,575,45,18
Collaboration,Advanced,2,575,46,69
Communication,Advanced,3,575,47,200
Sense Making,Advanced,4,575,48,75
Communication,Intermediate,1,1328,49,60
Collaboration,Intermediate,2,1328,50,120
Problem Solving,Intermediate,3,1328,51,164
Transdisciplinary Thinking,Intermediate,4,1328,52,84
Problem Solving,Intermediate,1,1082,53,58
Communication,Intermediate,2,1082,54,52
Collaboration,Intermediate,3,1082,55,162
Sense Making,Intermediate,4,1082,56,163
Communication,Basic,1,158,57,56
Collaboration,Basic,2,158,58,171
Learning Agility,Basic,3,158,59,194
Problem Solving,Basic,4,158,60,190
Sense Making,Basic,5,158,61,116
Communication,Advanced,1,1251,62,132
Building Inclusivity,Intermediate,2,1251,63,98
Collaboration,Intermediate,3,1251,64,162
Collaboration,Intermediate,1,1592,65,68
Communication,Advanced,2,1592,66,152
Decision Making,Advanced,3,1592,67,5
Developing People,Advanced,4,1592,68,195
Problem Solving,Advanced,1,566,69,18
Decision Making,Advanced,2,566,70,106
Communication,Advanced,3,566,71,200
Collaboration,Advanced,4,566,72,114
Sense Making,Advanced,5,566,73,62
Problem Solving,Intermediate,1,427,74,58
Decision Making,Intermediate,2,427,75,125
Communication,Intermediate,3,427,76,141
Collaboration,Intermediate,4,427,77,87
Sense Making,Intermediate,5,427,78,83
Collaboration,Advanced,1,1451,79,77
Decision Making,Advanced,2,1451,80,106
Communication,Advanced,3,1451,81,200
Problem Solving,Advanced,4,1451,82,155
Transdisciplinary Thinking,Advanced,5,1451,83,123
Communication,Basic,1,1518,84,56
Digital Fluency,Intermediate,2,1518,85,107
Sense Making,Basic,3,1518,86,88
Problem Solving,Basic,4,1518,87,190
Communication,Advanced,1,1351,88,132
Sense Making,Advanced,2,1351,89,188
Creative Thinking,Intermediate,3,1351,90,65
Problem Solving,Advanced,4,1351,91,155
Digital Fluency,Advanced,5,1351,92,2
Sense Making,Intermediate,1,1497,93,119
Digital Fluency,Advanced,2,1497,94,175
Creative Thinking,Intermediate,3,1497,95,65
Communication,Advanced,4,1497,96,174
Problem Solving,Intermediate,5,1497,97,140
Digital Fluency,Advanced,1,92,98,144
Creative Thinking,Intermediate,2,92,99,193
Sense Making,Intermediate,3,92,100,145
Communication,Intermediate,4,92,101,43
Decision Making,Advanced,1,163,102,183
Collaboration,Advanced,2,163,103,69
Developing People,Advanced,3,163,104,93
Communication,Advanced,4,163,105,174
Communication,Intermediate,1,706,106,60
Collaboration,Intermediate,2,706,107,120
Problem Solving,Intermediate,3,706,108,164
Digital Fluency,Advanced,4,706,109,53
Decision Making,Intermediate,1,562,110,86
Sense Making,Advanced,2,562,111,188
Developing People,Intermediate,3,562,112,41
Communication,Basic,1,1380,113,56
Collaboration,Intermediate,2,1380,114,120
Digital Fluency,Intermediate,3,1380,115,122
Sense Making,Basic,4,1380,116,131
Communication,Intermediate,1,613,117,60
Sense Making,Basic,2,613,118,81
Transdisciplinary Thinking,Basic,3,613,119,36
Digital Fluency,Intermediate,4,613,120,111
Problem Solving,Basic,5,613,121,182
Sense Making,Advanced,4,186,122,75
Decision Making,Advanced,1,1055,123,183
Communication,Advanced,2,1055,124,152
Digital Fluency,Intermediate,3,1055,125,122
Developing People,Advanced,4,1055,126,195
Decision Making,Advanced,1,868,127,183
Developing People,Intermediate,2,868,128,20
Digital Fluency,Intermediate,3,868,129,122
Communication,Advanced,1,757,130,132
Sense Making,Intermediate,2,757,131,113
Collaboration,Intermediate,3,757,132,162
Problem Solving,Intermediate,4,757,133,74
Communication,Intermediate,1,385,134,60
Digital Fluency,Intermediate,2,385,135,107
Transdisciplinary Thinking,Basic,3,385,136,36
Problem Solving,Basic,4,385,137,190
Global Perspective,Basic,5,385,138,135
Communication,Advanced,1,1038,139,132
Digital Fluency,Advanced,2,1038,140,175
Problem Solving,Advanced,3,1038,141,181
Transdisciplinary Thinking,Advanced,4,1038,142,29
Communication,Advanced,1,1312,143,132
Digital Fluency,Advanced,2,1312,144,175
Transdisciplinary Thinking,Advanced,3,1312,145,133
Problem Solving,Advanced,4,1312,146,155
Communication,Intermediate,1,318,147,60
Digital Fluency,Intermediate,2,318,148,107
Transdisciplinary Thinking,Intermediate,3,318,149,121
Problem Solving,Intermediate,4,318,150,74
Global Perspective,Intermediate,5,318,151,73
Collaboration,Intermediate,1,1091,152,68
Sense Making,Intermediate,2,1091,153,113
Communication,Basic,3,1091,154,124
Problem Solving,Basic,4,1091,155,190
Problem Solving,Advanced,1,1633,156,18
Decision Making,Advanced,2,1633,157,106
Developing People,Intermediate,3,1633,158,41
Collaboration,Advanced,4,1633,159,114
Communication,Advanced,5,1633,160,55
Developing People,Advanced,1,661,161,31
Decision Making,Advanced,2,661,162,106
Creative Thinking,Advanced,3,661,163,11
Problem Solving,Advanced,4,661,164,155
Problem Solving,Intermediate,1,1373,165,58
Sense Making,Intermediate,2,1373,166,113
Collaboration,Intermediate,3,1373,167,162
Creative Thinking,Intermediate,4,1373,168,32
Communication,Intermediate,5,1373,169,51
Sense Making,Basic,1,1253,170,134
Communication,Basic,2,1253,171,198
Digital Fluency,Intermediate,3,1253,172,122
Collaboration,Basic,4,1253,173,158
Learning Agility,Basic,5,1253,174,72
Decision Making,Intermediate,1,425,175,86
Collaboration,Intermediate,2,425,176,120
Developing People,Intermediate,3,425,177,41
Global Perspective,Advanced,4,425,178,23
Decision Making,Advanced,1,333,179,183
Global Perspective,Advanced,2,333,180,10
Collaboration,Advanced,3,333,181,203
Developing People,Advanced,4,333,182,195
Problem Solving,Intermediate,1,1173,183,58
Developing People,Intermediate,2,1173,184,20
Communication,Intermediate,3,1173,185,141
Collaboration,Intermediate,4,1173,186,87
Digital Fluency,Advanced,5,1173,187,2
Problem Solving,Intermediate,1,67,188,58
Customer Orientation,Intermediate,2,67,189,66
Sense Making,Advanced,3,67,190,156
Decision Making,Basic,4,67,191,95
Collaboration,Intermediate,5,67,192,151
Customer Orientation,Advanced,1,504,193,97
Collaboration,Advanced,2,504,194,69
Transdisciplinary Thinking,Advanced,3,504,195,133
Customer Orientation,Basic,1,1302,196,30
Problem Solving,Basic,2,1302,197,94
Collaboration,Basic,3,1302,198,49
Communication,Basic,4,1302,199,45
Problem Solving,Intermediate,1,1086,200,58
Sense Making,Advanced,2,1086,201,188
Decision Making,Basic,3,1086,202,186
Customer Orientation,Intermediate,4,1086,203,109
Problem Solving,Advanced,1,798,204,18
Customer Orientation,Advanced,2,798,205,1
Decision Making,Advanced,3,798,206,5
Developing People,Advanced,4,798,207,195
Problem Solving,Basic,1,1688,208,184
Customer Orientation,Basic,2,1688,209,118
Communication,Basic,3,1688,210,124
Sense Making,Intermediate,4,1688,211,163
Problem Solving,Intermediate,1,1608,212,58
Sense Making,Advanced,2,1608,213,188
Customer Orientation,Intermediate,3,1608,214,149
Decision Making,Basic,4,1608,215,95
Collaboration,Advanced,5,1608,216,187
Customer Orientation,Advanced,1,57,217,97
Problem Solving,Advanced,2,57,218,82
Decision Making,Advanced,3,57,219,5
Communication,Advanced,4,57,220,174
Problem Solving,Basic,1,1333,221,184
Decision Making,Basic,2,1333,222,24
Customer Orientation,Basic,3,1333,223,57
Collaboration,Intermediate,4,1333,224,87
Problem Solving,Intermediate,1,743,225,58
Sense Making,Advanced,2,743,226,188
Decision Making,Basic,3,743,227,186
Customer Orientation,Intermediate,4,743,228,109
Customer Orientation,Advanced,1,453,229,97
Problem Solving,Advanced,2,453,230,82
Decision Making,Advanced,3,453,231,5
Communication,Advanced,4,453,232,174
Problem Solving,Intermediate,1,1059,233,58
Sense Making,Advanced,2,1059,234,188
Customer Orientation,Intermediate,3,1059,235,149
Decision Making,Basic,4,1059,236,95
Collaboration,Intermediate,5,1059,237,151
Problem Solving,Intermediate,1,1386,238,58
Sense Making,Advanced,2,1386,239,188
Customer Orientation,Intermediate,3,1386,240,149
Decision Making,Intermediate,4,1386,241,67
Communication,Intermediate,5,1386,242,51
Problem Solving,Intermediate,1,511,243,58
Sense Making,Advanced,2,511,244,188
Decision Making,Intermediate,3,511,245,142
Customer Orientation,Intermediate,4,511,246,109
Developing People,Advanced,1,1479,247,31
Decision Making,Advanced,2,1479,248,106
Customer Orientation,Advanced,3,1479,249,13
Problem Solving,Advanced,4,1479,250,155
Problem Solving,Intermediate,1,270,251,58
Sense Making,Advanced,2,270,252,188
Customer Orientation,Intermediate,3,270,253,149
Decision Making,Intermediate,4,270,254,67
Problem Solving,Intermediate,1,962,255,58
Sense Making,Advanced,2,962,256,188
Decision Making,Intermediate,3,962,257,142
Customer Orientation,Intermediate,4,962,258,109
Problem Solving,Intermediate,1,1204,259,58
Sense Making,Advanced,2,1204,260,188
Customer Orientation,Intermediate,3,1204,261,149
Decision Making,Intermediate,4,1204,262,67
Problem Solving,Basic,1,570,263,184
Customer Orientation,Basic,2,570,264,118
Decision Making,Basic,3,570,265,186
Communication,Basic,4,570,266,45
Problem Solving,Basic,1,89,267,184
Customer Orientation,Basic,2,89,268,118
Decision Making,Basic,3,89,269,186
Communication,Basic,4,89,270,45
Problem Solving,Basic,1,1033,271,184
Customer Orientation,Basic,2,1033,272,118
Decision Making,Basic,3,1033,273,186
Communication,Basic,4,1033,274,45
Customer Orientation,Basic,1,429,275,30
Problem Solving,Basic,2,429,276,94
Communication,Basic,3,429,277,124
Collaboration,Basic,4,429,278,158
Problem Solving,Advanced,1,413,279,18
Customer Orientation,Advanced,2,413,280,1
Decision Making,Advanced,3,413,281,5
Communication,Advanced,4,413,282,174
Problem Solving,Basic,1,1004,283,184
Customer Orientation,Basic,2,1004,284,118
Decision Making,Basic,3,1004,285,186
Sense Making,Intermediate,4,1004,286,163
Collaboration,Intermediate,5,1004,287,151
Problem Solving,Basic,1,727,288,184
Customer Orientation,Basic,2,727,289,118
Decision Making,Basic,3,727,290,186
Sense Making,Intermediate,4,727,291,163
Collaboration,Intermediate,5,727,292,151
Problem Solving,Basic,1,1108,293,184
Customer Orientation,Basic,2,1108,294,118
Decision Making,Basic,3,1108,295,186
Sense Making,Intermediate,4,1108,296,163
Collaboration,Intermediate,5,1108,297,151
Problem Solving,Basic,1,735,298,184
Communication,Basic,2,735,299,198
Customer Orientation,Basic,3,735,300,57
Collaboration,Basic,4,735,301,158
Learning Agility,Basic,5,735,302,72
Problem Solving,Basic,1,941,303,184
Communication,Basic,2,941,304,198
Customer Orientation,Basic,3,941,305,57
Collaboration,Basic,4,941,306,158
Learning Agility,Basic,5,941,307,72
Problem Solving,Intermediate,1,1403,308,58
Sense Making,Advanced,2,1403,309,188
Customer Orientation,Intermediate,3,1403,310,149
Decision Making,Intermediate,4,1403,311,67
Communication,Intermediate,5,1403,312,51
Problem Solving,Basic,1,631,313,184
Customer Orientation,Basic,2,631,314,118
Decision Making,Basic,3,631,315,186
Communication,Basic,4,631,316,45
Problem Solving,Intermediate,1,1539,317,58
Customer Orientation,Intermediate,2,1539,318,66
Sense Making,Advanced,3,1539,319,156
Decision Making,Basic,4,1539,320,95
Collaboration,Intermediate,5,1539,321,151
