TSC Title,Proficiency Level,jobid,jtid,TSC Key ID
Accounting Standards,4,1461,1,49
Auditing and Assurance Standards,4,1461,2,2
Auditor Independence,4,1461,3,3
Business Acumen,4,1461,4,10
Cyber Security,3,1461,5,38
Data Analytics,3,1461,6,39
Data Governance,3,1461,7,40
Digital Technology Environment Scanning,3,1461,8,44
Engagement Execution,4,1461,9,5
Engagement Quality Control,4,1461,10,7
Financial Statements Analysis,4,1461,11,64
Internal Controls,3,1461,12,89
Macroeconomic Analysis,3,1461,13,26
Professional Scepticism and Judgment,3,1461,14,30
Professional and Business Ethics,3,1461,15,90
Programming and Coding,2,1461,16,48
Project Execution and Control,2,1461,17,32
Risk Assessment,4,1461,18,96
Stakeholder Management,3,1461,19,35
Taxation Laws,3,1461,20,104
Accounting Standards,5,993,21,49
Auditing and Assurance Standards,5,993,22,2
Auditor Independence,5,993,23,3
Business Acumen,5,993,24,10
Business Development,5,993,25,12
Business Innovation and Improvement,4,993,26,13
Change Management,5,993,27,18
Conflict Management,5,993,28,19
Cyber Security,4,993,29,38
Data Analytics,4,993,30,39
Data Governance,4,993,31,40
Digital Technology Environment Scanning,5,993,32,44
Disruption Management,5,993,33,21
Engagement Completion and Reporting,5,993,34,4
Engagement Execution,5,993,35,5
Engagement Planning,5,993,36,6
Engagement Quality Control,5,993,37,7
Engagement Review,5,993,38,8
Financial Statements Analysis,5,993,39,64
Internal Controls,5,993,40,89
Macroeconomic Analysis,4,993,41,26
Professional Scepticism and Judgment,4,993,42,30
Professional and Business Ethics,5,993,43,90
Programming and Coding,3,993,44,48
Project Execution and Control,4,993,45,32
Risk Assessment,5,993,46,96
Stakeholder Management,5,993,47,35
Taxation Laws,5,993,48,104
Accounting Standards,6,1383,49,49
Auditing and Assurance Standards,6,1383,50,2
Auditor Independence,6,1383,51,3
Business Acumen,6,1383,52,10
Business Development,6,1383,53,12
Business Innovation and Improvement,5,1383,54,13
Change Management,6,1383,55,18
Conflict Management,6,1383,56,19
Cyber Security,4,1383,57,38
Data Analytics,5,1383,58,39
Data Governance,5,1383,59,40
Digital Technology Environment Scanning,5,1383,60,44
Disruption Management,6,1383,61,21
Engagement Completion and Reporting,6,1383,62,4
Engagement Planning,6,1383,63,6
Engagement Quality Control,6,1383,64,7
Engagement Review,6,1383,65,8
Financial Statements Analysis,6,1383,66,64
Governance,6,1383,67,88
Internal Controls,6,1383,68,89
Macroeconomic Analysis,5,1383,69,26
Professional Scepticism and Judgment,5,1383,70,30
Professional and Business Ethics,6,1383,71,90
Programming and Coding,3,1383,72,48
Project Execution and Control,5,1383,73,32
Risk Assessment,6,1383,74,96
Stakeholder Management,6,1383,75,35
Taxation Laws,6,1383,76,104
Accounting Standards,5,1320,77,49
Auditing and Assurance Standards,4,1320,78,2
Auditor Independence,4,1320,79,3
Business Acumen,4,1320,80,10
Change Management,4,1320,81,18
Conflict Management,4,1320,82,19
Cyber Security,4,1320,83,38
