Sector,Track,Job Role,jobid
Infocomm Technology,Strategy and Governance,Associate UX Designer,1
Sea Transport,Maritime Services,Assistant Chartering Broker / Trainee Chartering Broker,2
Electronics,Technical and Engineering,Senior Product Engineer,3
Sea Transport,Shipping,HSSEQ Superintendent,4
Logistics,Sales and Customer Service,Business Development Manager / Sales and Marketing Manager / Vertical Sales Account Manager / Key Account Manager / Project Cargo Sales Manager / Route Development Manager / Trade Lane Manager,5
Energy and Power,Gas Systems Operations,Gas Systems Operations Manager,6
Early Childhood Care and Education,Early Childhood Education,Infant Educator,7
Environmental Services,Waste Collection,Waste and Recyclables Collection Attendant,8
Tourism,Event Management and Operations,Exhibition Producer / Conference Producer / Meeting Planner,9
Wholesale Trade,Finance and Regulations,Head of Risk,10
Aerospace,Manufacturing,Technician (Manufacturing),11
Media,Game Technical Development,Technical Artist,12
Energy and Power,Electricity Transmission and Distribution,Operations and Maintenance Manager,13
Engineering Services,Engineering Design,Principal Engineer / Manager (Engineering Design),14
Public Transport,Bus Operations,Senior Depot Supervisor / Depot Supervisor,15
Public Transport,Rail Engineering,Senior Engineer / Engineer (Automatic Fare Collection),16
Energy and Power,Energy Trading and Portfolio Management,Portfolio Management Manager,17
Air Transport,Flight Operations (AGH),Supervisor (Flight Operations),18
Tourism,Venue Management and Operations,Venue Operations Director,19
Financial Services,"Sales, After Sales, Distribution and Relationship Management",Client Service Manager / Client Support Service Manager,20
Energy and Chemicals,"Technical Services, Application and Product Development",Technical Service Manager,21
Media,Media Technology and Operations,Head - Technology and Operations,22
Retail,Merchandising,Visual Merchandiser,23
Tourism,Travel Management and Operations,Assistant Product and Experience Development Executive,24
Air Transport,Ground Services,Executive (Ground Services),25
BioPharmaceuticals Manufacturing,Engineering and Maintenance,Engineering and Maintenance Senior Technician,26
Healthcare,Pharmacy Support,Senior Pharmacy Technician Executive (Drug Compounding and Quality Management),27
Healthcare,Physiotherapy,Physiotherapist,28
Aerospace,Manufacturing,Senior Manufacturing Planning Executive,29
Hotel and Accommodation Services,Front Office,Bellhop / Bell Attendant,30
Public Transport,Rail Engineering,Senior Assistant Engineer / Assistant Engineer (Engineering Train),31
Financial Services,"Sales, After Sales, Distribution and Relationship Management",Financial Planner / Insurance Agent / Bancassurance Specialist,32
Social Service,Youth Work,Senior Assistant Director / Assistant Director,33
Infocomm Technology,Operations and Support,Associate Applications Support Engineer,34
Trade Associations and Chambers,Strategy & Governance,Strategy & Governance Senior Executive / Executive,35
Sea Transport,Shipping,HSSEQ Manager,36
Energy and Power,Town Gas Technical Services,"Installation, Inspection and Servicing Manager",37
Energy and Power,Gas Transmission and Distribution,Operations and Maintenance Manager,38
Sea Transport,Port,Senior Equipment Specialist,39
Logistics,Transportation Management and Operations,Depot Supervisor / Traffic Supervisor / Dispatch Supervisor / Hub Operations Supervisor,40
Built Environment,Facilities Management,Associate Director (Facilities Management),41
Workplace Safety and Health,Operational Control,Occupational Hygiene Officer,42
