TSC Code,Proficiency Level,Proficiency Description,Range of Application,TSC Key ID,TSC Application ID
ACC-DIT-2018-1.1-1,2,"Apply macros, programming and coding to meet business needs","Types of programming and coding languages may include, but are not limited to:
- Python
- Java
- JavaScript
- SQL
- C++
- C#
- Ruby",48,1
ACC-DIT-3018-1.1,3,"Analyse business objectives to identify programming and coding opportunities, to ensure that the technical functionality of software designed is aligned to intended outcomes","Types of programming and coding languages may include, but are not limited to:
- Python
- Java
- JavaScript
- SQL
- C++
- C#
- Ruby",48,2
ACC-DIT-4018-1.1,4,"Translate business requirements into programming and coding requirements, and design guidelines for the formulation of programmes and codes","Types of programming and coding languages may include, but are not limited to:
- Python
- Java
- JavaScript
- SQL
- C++
- C#
- Ruby",48,3
AER-OPR-2020-1.1,2,Apply procedural knowledge of robotic systems and automation technologies to execute operational activities,"Develop robotics and automation application strategies
- Refine parameters of robotics and automation processes to improve operational efficiency
- Analyse alternative approaches to robotics and automation to enhance engineering precision and productivity 
- Identify potential opportunities to improve robotics and automation approaches in the organisation
- Prepare business cases for implementing advanced robotics and automation to satisfy business and legislative requirements",233,4
AER-OPR-3020-1.1,3,Oversee the use of robotic systems and automation technologies in compliance with specifications and workflow plans,"Develop robotics and automation application strategies
- Refine parameters of robotics and automation processes to improve operational efficiency
- Analyse alternative approaches to robotics and automation to enhance engineering precision and productivity 
- Identify potential opportunities to improve robotics and automation approaches in the organisation
- Prepare business cases for implementing advanced robotics and automation to satisfy business and legislative requirements",233,5
AER-OPR-4020-1.1,4,Review performance of automated workflows for process improvements,"Develop robotics and automation application strategies
- Refine parameters of robotics and automation processes to improve operational efficiency
- Analyse alternative approaches to robotics and automation to enhance engineering precision and productivity 
- Identify potential opportunities to improve robotics and automation approaches in the organisation
- Prepare business cases for implementing advanced robotics and automation to satisfy business and legislative requirements",233,6
AER-OPR-5020-1.1,5,Formulate new automated workflows to streamline processes,"Develop robotics and automation application strategies
- Refine parameters of robotics and automation processes to improve operational efficiency
- Analyse alternative approaches to robotics and automation to enhance engineering precision and productivity 
- Identify potential opportunities to improve robotics and automation approaches in the organisation
- Prepare business cases for implementing advanced robotics and automation to satisfy business and legislative requirements",233,7
AER-OPR-6020-1.1,6,Explore wider applications of robotic and automation methods in the organisation by using expertise within the field to transform workflows,"Develop robotics and automation application strategies
- Refine parameters of robotics and automation processes to improve operational efficiency
- Analyse alternative approaches to robotics and automation to enhance engineering precision and productivity 
- Identify potential opportunities to improve robotics and automation approaches in the organisation
- Prepare business cases for implementing advanced robotics and automation to satisfy business and legislative requirements",233,8
BEV-TEM-2007-1.1-1,2,Apply procedural knowledge of robotic and automation technologies to execute tasks,"Organisation's products, services and processes
- Organisation's quality and Workplace Safety and Health (WSH) guidelines  
- Methods of developing detailed operating procedures for robotic and automation technologies
- Methods to influence adoption of new technologies
- Impact of robotic and automation on the Built Environment
- Principles of change management",579,9
BEV-TEM-3007-1.1-1,3,Interpret workflow plan and manufacturer’s recommendations for the use of automatic technologies and systems,"Organisation's products, services and processes
- Organisation's quality and Workplace Safety and Health (WSH) guidelines  
- Methods of developing detailed operating procedures for robotic and automation technologies
- Methods to influence adoption of new technologies
- Impact of robotic and automation on the Built Environment
- Principles of change management",579,10
BEV-TEM-4007-1.1-1,4,Review performance of robotic and automation technologies so as to assess improvements in the Built Environment,"Organisation's products, services and processes
- Organisation's quality and Workplace Safety and Health (WSH) guidelines  
- Methods of developing detailed operating procedures for robotic and automation technologies
- Methods to influence adoption of new technologies
- Impact of robotic and automation on the Built Environment
- Principles of change management",579,11
BEV-TEM-5007-1.1-1,5,Formulate new processes that adopt robotic and automation technologies so as to enhance operational efficiency,"Organisation's products, services and processes
- Organisation's quality and Workplace Safety and Health (WSH) guidelines  
- Methods of developing detailed operating procedures for robotic and automation technologies
- Methods to influence adoption of new technologies
- Impact of robotic and automation on the Built Environment
- Principles of change management",579,12
BEV-TEM-6007-1.1-1,6,Explore wide applications of robotic and automation technologies in the organisation so as to transform the Built Environment,"Organisation's products, services and processes
- Organisation's quality and Workplace Safety and Health (WSH) guidelines  
- Methods of developing detailed operating procedures for robotic and automation technologies
- Methods to influence adoption of new technologies
- Impact of robotic and automation on the Built Environment
- Principles of change management",579,13
EPW-BIN-3124-1.1,3,Develop recommendations to improve billing operations and efficiency,"Range of application includes, but is not limited to:
- Revenue cycle management
- Operational efficiency and management systems
- Productivity software 
",833,14
EPW-BIN-4124-1.1,4,Review recommendations to improve billing operations and efficiency,"Range of application includes, but is not limited to:
- Revenue cycle management
- Operational efficiency and management systems
- Productivity software 
",833,15
EPW-BIN-5124-1.1,5,Synthesise recommendations with operational constraints and other relevant factors for feasible solutions,"Range of application includes, but is not limited to:
- Revenue cycle management
- Operational efficiency and management systems
- Productivity software 
",833,16
EPW-BIN-4122-1.1,4,Identify potential risks for customer billing and data,"Range of application includes, but is not limited to:
- Customer data management systems
- Information technology asset management
- Information technology risk management
- Cybersecurity risk solutions
- Risk management data and tools
- Data management frameworks
",834,17
EPW-BIN-5122-1.1,5,Develop plans to mitigate risks associated with customer billing and data,"Range of application includes, but is not limited to:
- Customer data management systems
- Information technology asset management
- Information technology risk management
- Cybersecurity risk solutions
- Risk management data and tools
- Data management frameworks
",834,18
EPW-BIN-6122-1.1,6,Evaluate strategies and policies to provide technical advisory on risk mitigation plans related to customer billing and data,"Range of application includes, but is not limited to:
- Customer data management systems
- Information technology asset management
- Information technology risk management
- Cybersecurity risk solutions
- Risk management data and tools
- Data management frameworks
",834,19
EPW-CEX-3033-1.1,3,Assess change requests and identify drivers of change and evolving customer expectations,"Range of application includes, but is not limited to:
- Customer relationship management systems
- Change request forms
- Order management systems
- Productivity software 
",835,20
EPW-CEX-4033-1.1,4,Inspect both routine and non-routine order processing and change requests by customers,"Range of application includes, but is not limited to:
- Customer relationship management systems
- Change request forms
- Order management systems
- Productivity software 
",835,21
EPW-CEX-5033-1.1,5,Manage the handling of order processing and change requests and resolve any escalated issues,"Range of application includes, but is not limited to:
- Customer relationship management systems
- Change request forms
- Order management systems
- Productivity software 
",835,22
EPW-CEX-6033-1.1,6,Formulate order processing and change requests framework for staff,"Range of application includes, but is not limited to:
- Customer relationship management systems
- Change request forms
- Order management systems
- Productivity software 
",835,23
EPW-BIN-3125-1.1,3,Apply wholesale transaction processes and analytical methods to support the preparation of bids to be submitted to the market,"Range of application includes, but is not limited to:
- National Electricity Market of Singapore (NEMS)
",837,24
EPW-BIN-4125-1.1,4,Analyse fuel price movements and interpret procedures and regulations for submitting bid offers to the market,"Range of application includes, but is not limited to:
- National Electricity Market of Singapore (NEMS)
",837,25
EPW-BIN-5125-1.1,5,Provide direction on wholesale fuel transactions and establish strategies for traders to execute wholesale fuel transactions,"Range of application includes, but is not limited to:
- National Electricity Market of Singapore (NEMS)
",837,26
EPW-EMO-2005-1.1,2,Apply Low Voltage (LV) network operational and maintenance procedures at site under guidance and supervision,"Range of application includes, but is not limited to:
- LV distribution equipment 
- LV Distribution Boards (LVB) 
- Overground Boxes (OGB)
- Meter Room Box (MRB) 
- Test-plugs, insulation resistance tester, multi-meter, clamp-on ammeter, voltage detector cum hot stick, approved discharge stick
- HV or EHV equipment 
- Load Break and Fuse Switches in Ring Main Unit (RMU)
- Transformers
- Switchgears
- Fuses
- Circuit Breakers 
",849,27
EPW-EMO-3005-1.1,3,Administer various tests and checks during Low Voltage (LV) network operations and maintenance under supervision and guidance,"Range of application includes, but is not limited to:
- LV distribution equipment 
- LV Distribution Boards (LVB) 
- Overground Boxes (OGB)
- Meter Room Box (MRB) 
- Test-plugs, insulation resistance tester, multi-meter, clamp-on ammeter, voltage detector cum hot stick, approved discharge stick
- HV or EHV equipment 
- Load Break and Fuse Switches in Ring Main Unit (RMU)
- Transformers
- Switchgears
- Fuses
- Circuit Breakers 
",849,28
EPW-EMO-4005-1.1,4,Administer High Voltage (HV) or Extra High Voltage (EHV) network operations and maintenance and develop various contingency plans and standby arrangements for special events,"Range of application includes, but is not limited to:
- LV distribution equipment 
- LV Distribution Boards (LVB) 
- Overground Boxes (OGB)
- Meter Room Box (MRB) 
- Test-plugs, insulation resistance tester, multi-meter, clamp-on ammeter, voltage detector cum hot stick, approved discharge stick
- HV or EHV equipment 
- Load Break and Fuse Switches in Ring Main Unit (RMU)
- Transformers
- Switchgears
- Fuses
- Circuit Breakers 
",849,29
EPW-EMO-5005-1.1,5,"Determine gaps in operations and maintenance procedures for process improvement and provide technical guidance on Low Voltage (LV), High Voltage (HV) or Extra High Voltage (EHV) operational problems","Range of application includes, but is not limited to:
- LV distribution equipment 
- LV Distribution Boards (LVB) 
- Overground Boxes (OGB)
- Meter Room Box (MRB) 
- Test-plugs, insulation resistance tester, multi-meter, clamp-on ammeter, voltage detector cum hot stick, approved discharge stick
- HV or EHV equipment 
- Load Break and Fuse Switches in Ring Main Unit (RMU)
- Transformers
- Switchgears
- Fuses
- Circuit Breakers 
",849,30
EPW-EMO-2008-1.1,2,Operate the gas transmission and/or distribution network systems,"Range of application includes, but is not limited to:
- Gas network metering, offtakes, odourisation, pressure reduction stations (PRS), pipelines, pigging, inspection
- Galvanised iron and steel pipes
- Flow control system
- Gas filters
- Water bath heaters
- Pressure regulators
- Gas meters
- Odorant injection system
- Gas analysers
- Valves and actuators
- Pressure and temperature transmitters
- Gas leak detectors
- Cathodic protection system
- Programmable logic controller
- Supervisory Control And Data Acquisition (SCADA)
- Remote Terminal Unit (RTU)
- Modbus
- Fittings
- Anode beds, galvanic anodes, sacrificial anodes
",853,31
EPW-EMO-3008-1.1,3,"Coordinate the operations of gas transmission and/or distribution network systems, maintenance and adequacy of tools and equipment","Range of application includes, but is not limited to:
- Gas network metering, offtakes, odourisation, pressure reduction stations (PRS), pipelines, pigging, inspection
- Galvanised iron and steel pipes
- Flow control system
- Gas filters
- Water bath heaters
- Pressure regulators
- Gas meters
- Odorant injection system
- Gas analysers
- Valves and actuators
- Pressure and temperature transmitters
- Gas leak detectors
- Cathodic protection system
- Programmable logic controller
- Supervisory Control And Data Acquisition (SCADA)
- Remote Terminal Unit (RTU)
- Modbus
- Fittings
- Anode beds, galvanic anodes, sacrificial anodes
",853,32
EPW-EMO-4008-1.1,4,"Oversee the operations of gas transmission and/or distribution networks, including sourcing for new equipment and tools for replacement and efficiency of operations","Range of application includes, but is not limited to:
- Gas network metering, offtakes, odourisation, pressure reduction stations (PRS), pipelines, pigging, inspection
- Galvanised iron and steel pipes
- Flow control system
- Gas filters
- Water bath heaters
- Pressure regulators
- Gas meters
- Odorant injection system
- Gas analysers
- Valves and actuators
- Pressure and temperature transmitters
- Gas leak detectors
- Cathodic protection system
- Programmable logic controller
- Supervisory Control And Data Acquisition (SCADA)
- Remote Terminal Unit (RTU)
- Modbus
- Fittings
- Anode beds, galvanic anodes, sacrificial anodes
",853,33
EPW-EMO-5008-1.1,5,Review and authorise the planning and operations of gas transmission and/or distribution networks to drive safety and efficiency optimisation,"Range of application includes, but is not limited to:
- Gas network metering, offtakes, odourisation, pressure reduction stations (PRS), pipelines, pigging, inspection
- Galvanised iron and steel pipes
- Flow control system
- Gas filters
- Water bath heaters
- Pressure regulators
- Gas meters
- Odorant injection system
- Gas analysers
- Valves and actuators
- Pressure and temperature transmitters
- Gas leak detectors
- Cathodic protection system
- Programmable logic controller
- Supervisory Control And Data Acquisition (SCADA)
- Remote Terminal Unit (RTU)
- Modbus
- Fittings
- Anode beds, galvanic anodes, sacrificial anodes
",853,34
EPW-EMO-3010-1.1,3,Organise and maintain integrity of data with regards to load profiling and capacity certificates,"Range of application includes, but is not limited to: 
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Hydraulic models
- Global fleet management systems 
- Gas and electricity mapping systems 
",478,35
EPW-EMO-4010-1.1,4,"Manage data analysis for load profiling, capacity applications and capacity certificates","Range of application includes, but is not limited to: 
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Hydraulic models
- Global fleet management systems 
- Gas and electricity mapping systems 
",478,36
EPW-EMO-5010-1.1,5,Oversee standard operating procedures for load profiling analysis and capacity certificates,"Range of application includes, but is not limited to: 
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Hydraulic models
- Global fleet management systems 
- Gas and electricity mapping systems 
",478,37
EPW-EMO-2011-1.1,2,Apply standard operating procedures in the deployment of standby mobile generators,"Range of application includes, but is not limited to:
- Cables
- Transformers
- Switchgears
- Reactors
- Substations 
- Direct current (DC) Units
- Protection relays
",855,38
