Sector,TSC Category,TSC Title,TSC Description,Emerging TSC,TSC Key ID
Accountancy,Assurance,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,No,1
Accountancy,Assurance,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,No,2
Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",No,3
Accountancy,Assurance,Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,No,4
Accountancy,Assurance,Engagement Execution,Perform assurance procedures in accordance with the engagement plans,No,5
Accountancy,Assurance,Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",No,6
Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,No,7
Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",No,8
Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,No,9
Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",No,10
Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,No,11
Accountancy,Business Management,Business Development,"Develop and implement plans to enhance organisation's business performance and growth",No,12
Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,Yes,13
Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,No,14
Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,No,15
Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",No,16
Accountancy,Business Management,Business Process Management,"Manage and optimise an organisation's business processes for efficiency and effectiveness",No,17
Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,No,18
Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",Yes,19
Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,No,20
Accountancy,Business Management,Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models,No,21
Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,Yes,22
Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,No,23
Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,Yes,24
Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,No,25
Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,No,26
Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,No,27
Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,No,28
Accountancy,Business Management,Performance Management,Measure and manage business performance,No,29
Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,No,30
Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,No,31
Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",No,32
Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,No,33
Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",No,34
Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",Yes,35
Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",No,36
Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,No,37
Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,Yes,38
Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,Yes,39
Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",Yes,40
Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",Yes,41
Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,Yes,42
Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,Yes,43
Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,Yes,44
Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,No,45
Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,Yes,46
Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",No,47
Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",Yes,48
Accountancy,Financial and Transaction Management,Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,No,49
Accountancy,Financial and Transaction Management,Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options",No,50
Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,No,51
Accountancy,Financial and Transaction Management,Cash Flow Management,Manage and maintain business units’ cash flow by consolidating data and performing analysis on cash inflow and outflow,No,52
